,sEth,dEth,typEth,Source,Destination,proto,type,code,sPort,dPort,priority,action
95,*,9e:8d:de:80:29:28,0x800,rpsv1.video-cloud.net,*,6,*,*,443,*,*,forward
96,*,9e:8d:de:80:29:28,0x800,rpsv4.video-cloud.net,*,6,*,*,443,*,*,forward
97,*,9e:8d:de:80:29:28,0x800,rpsv3.video-cloud.net,*,6,*,*,443,*,*,forward
98,*,*,0x800,*,*,17,*,*,53,*,*,forward
99,*,9e:8d:de:80:29:28,0x800,v2servers.video-cloud.net,*,6,*,*,443,*,*,forward
100,*,9e:8d:de:80:29:28,0x800,iconfig.august.com,*,6,*,*,443,*,*,forward
101,*,9e:8d:de:80:29:28,0x800,rpsv222.video-cloud.net,*,6,*,*,443,*,*,forward
102,*,9e:8d:de:80:29:28,0x800,rpsv10.video-cloud.net,*,6,*,*,443,*,*,forward
103,*,9e:8d:de:80:29:28,0x800,doorbells.august.com,*,6,*,*,443,*,*,forward
104,*,9e:8d:de:80:29:28,0x800,vcsv2.video-cloud.net,*,6,*,*,443,*,*,forward
105,*,9e:8d:de:80:29:28,0x800,rpsv5.video-cloud.net,*,6,*,*,443,*,*,forward
106,*,9e:8d:de:80:29:28,0x800,8.8.8.8/32,*,1,0,0,*,*,*,forward
107,*,9e:8d:de:80:29:28,0x800,8.8.4.4/32,*,1,0,0,*,*,*,forward
108,*,9e:8d:de:80:29:28,0x800,rbs-sticky.august.com,*,6,*,*,443,*,*,forward
109,*,9e:8d:de:80:29:28,0x800,rpsv12.video-cloud.net,*,6,*,*,443,*,*,forward
110,*,*,*,*,*,17,*,*,*,547,*,forward
111,*,*,*,*,*,58,*,*,*,*,*,forward
112,*,*,*,*,*,58,*,*,*,*,*,forward
113,*,*,*,*,*,17,*,*,*,53,*,forward
114,*,*,*,*,*,0,*,*,*,*,*,forward
115,*,*,*,*,*,17,*,*,*,53,*,forward
116,*,*,*,*,*,58,*,*,*,*,*,forward
117,*,*,*,*,*,17,*,*,547,*,*,forward
118,*,*,*,*,*,17,*,*,53,*,*,forward
119,*,*,*,*,*,17,*,*,53,*,*,forward
120,*,*,0x0006,*,*,*,*,*,*,*,*,forward
121,*,*,0x888e,*,*,*,*,*,*,*,*,forward
122,*,*,0x800,*,*,17,*,*,*,67,*,forward
123,*,*,0x800,*,*,17,*,*,*,53,*,forward
124,9e:8d:de:80:29:28,*,0x800,*,ota.awair.is,6,*,*,*,443,*,forward
125,9e:8d:de:80:29:28,*,0x800,*,timeserver.awair.is,6,*,*,*,443,*,forward
126,9e:8d:de:80:29:28,ff:ff:ff:ff:ff:ff,0x800,*,255.255.255.255/32,17,*,*,*,67,*,forward
127,9e:8d:de:80:29:28,*,0x800,*,messaging.awair.is,6,*,*,*,8883,*,forward
128,9e:8d:de:80:29:28,*,0x800,*,8.8.8.8/32,17,*,*,*,53,*,forward
129,*,9e:8d:de:80:29:28,0x800,messaging.awair.is,*,6,*,*,8883,*,*,forward
130,*,*,0x800,*,*,17,*,*,53,*,*,forward
131,*,9e:8d:de:80:29:28,0x800,timeserver.awair.is,*,6,*,*,443,*,*,forward
132,*,*,0x800,*,*,17,*,*,67,*,*,forward
133,*,9e:8d:de:80:29:28,0x800,8.8.8.8/32,*,17,*,*,53,*,*,forward
134,*,9e:8d:de:80:29:28,0x800,ota.awair.is,*,6,*,*,443,*,*,forward
135,*,*,0x888e,*,*,*,*,*,*,*,*,forward
136,*,*,0x0006,*,*,*,*,*,*,*,*,forward
137,9e:8d:de:80:29:28,*,0x800,*,origin.belkin-us.tendplatform.com,6,*,*,*,443,*,forward
138,9e:8d:de:80:29:28,*,0x800,*,api.xbcs.net,6,*,*,*,8443,*,forward
139,*,*,0x800,*,*,6,*,*,*,5104,*,forward
140,*,*,0x800,*,*,17,*,*,*,67,*,forward
141,9e:8d:de:80:29:28,*,0x800,*,239.255.255.250/32,17,*,*,*,1900,*,forward
142,*,*,0x800,*,*,6,*,*,*,3478,*,forward
143,*,*,0x800,*,*,1,8,0,*,*,*,forward
144,9e:8d:de:80:29:28,*,0x800,*,ping.seedonk.com,1,8,0,*,*,*,forward
145,9e:8d:de:80:29:28,*,0x800,*,prod1-nat-xbcs-net-1543133972.us-east-1.elb.amazonaws.com,6,*,*,*,3475,*,forward
146,9e:8d:de:80:29:28,*,0x800,*,devices.xbcs.net,6,*,*,*,8899,*,forward
147,*,*,0x800,*,*,6,*,*,9207,*,*,forward
148,9e:8d:de:80:29:28,*,0x800,*,time.windows.com,17,*,*,*,123,*,forward
149,9e:8d:de:80:29:28,*,*,*,239.255.255.250/32,2,*,*,*,*,*,forward
150,*,*,0x800,*,*,17,*,*,*,53,*,forward
151,9e:8d:de:80:29:28,*,0x800,*,origin.belkin-us.tendplatform.com,6,*,*,*,5104,*,forward
152,*,*,0x800,*,*,6,*,*,49154,*,*,forward
153,*,*,0x800,*,*,17,*,*,*,*,*,forward
154,9e:8d:de:80:29:28,*,0x800,*,nat.xbcs.net,6,*,*,*,3475,*,forward
155,9e:8d:de:80:29:28,*,*,*,224.0.0.2/32,2,*,*,*,*,*,forward
156,9e:8d:de:80:29:28,*,0x800,*,www.google.com,1,8,0,*,*,*,forward
157,9e:8d:de:80:29:28,*,0x800,*,8.8.8.8/32,17,*,*,*,53,*,forward
158,*,*,0x800,*,*,6,*,*,49153,*,*,forward
159,*,9e:8d:de:80:29:28,0x800,ping.seedonk.com,*,1,0,0,*,*,*,forward
160,*,*,0x800,*,*,1,0,0,*,*,*,forward
161,*,9e:8d:de:80:29:28,0x800,origin.belkin-us.tendplatform.com,*,6,*,*,443,*,*,forward
162,*,*,0x800,*,*,17,*,*,53,*,*,forward
163,*,9e:8d:de:80:29:28,0x800,origin.belkin-us.tendplatform.com,*,6,*,*,5104,*,*,forward
164,*,*,0x800,*,*,6,*,*,*,49153,*,forward
165,*,9e:8d:de:80:29:28,0x800,devices.xbcs.net,*,6,*,*,8899,*,*,forward
166,*,*,0x800,*,*,6,*,*,*,9207,*,forward
167,*,9e:8d:de:80:29:28,0x800,time.windows.com,*,17,*,*,123,*,*,forward
168,*,*,0x800,*,*,6,*,*,*,49154,*,forward
169,*,*,0x800,*,*,17,*,*,*,*,*,forward
170,*,9e:8d:de:80:29:28,0x800,www.google.com,*,1,0,0,*,*,*,forward
171,*,*,0x800,*,*,17,*,*,67,*,*,forward
172,*,*,0x800,*,*,6,*,*,5104,*,*,forward
173,*,9e:8d:de:80:29:28,0x800,8.8.8.8/32,*,17,*,*,53,*,*,forward
174,*,9e:8d:de:80:29:28,0x800,prod1-nat-xbcs-net-1543133972.us-east-1.elb.amazonaws.com,*,6,*,*,3475,*,*,forward
175,*,*,0x800,*,*,6,*,*,3478,*,*,forward
176,*,9e:8d:de:80:29:28,0x800,nat.xbcs.net,*,6,*,*,3475,*,*,forward
177,*,9e:8d:de:80:29:28,0x800,api.xbcs.net,*,6,*,*,8443,*,*,forward
178,*,*,0x888e,*,*,*,*,*,*,*,*,forward
179,*,*,0x0006,*,*,*,*,*,*,*,*,forward
180,9e:8d:de:80:29:28,*,*,*,224.0.0.1/32,2,*,*,*,*,*,forward
181,9e:8d:de:80:29:28,*,0x800,*,tech.carematix.com,6,*,*,*,8777,*,forward
182,*,*,0x800,*,*,17,*,*,*,53,*,forward
183,9e:8d:de:80:29:28,ff:ff:ff:ff:ff:ff,0x800,*,255.255.255.255/32,17,*,*,*,67,*,forward
184,*,*,0x800,*,*,17,*,*,53,*,*,forward
185,*,9e:8d:de:80:29:28,0x800,tech.carematix.com,*,6,*,*,8777,*,*,forward
186,*,*,0x800,*,*,17,*,*,67,*,*,forward
187,*,*,0x888e,*,*,*,*,*,*,*,*,forward
188,*,*,0x0006,*,*,*,*,*,*,*,*,forward
189,*,*,0x800,*,*,17,*,*,*,67,*,forward
190,9e:8d:de:80:29:28,*,0x800,*,h.canaryis.com,6,*,*,*,80,*,forward
191,9e:8d:de:80:29:28,*,0x800,*,m.canaryis.com,6,*,*,*,443,*,forward
192,9e:8d:de:80:29:28,ff:ff:ff:ff:ff:ff,0x800,*,255.255.255.255/32,17,*,*,*,67,*,forward
193,9e:8d:de:80:29:28,*,0x800,*,ipv4.connman.net,6,*,*,*,80,*,forward
194,9e:8d:de:80:29:28,*,0x800,*,b.canaryis.com,6,*,*,*,443,*,forward
195,9e:8d:de:80:29:28,*,0x800,*,09-wl2-d-prod.canaryis.com,6,*,*,*,443,*,forward
196,9e:8d:de:80:29:28,*,0x800,*,v.canaryis.com,6,*,*,*,443,*,forward
197,9e:8d:de:80:29:28,*,0x800,*,o.canaryis.com,6,*,*,*,443,*,forward
198,9e:8d:de:80:29:28,*,0x800,*,i.canaryis.com,6,*,*,*,80,*,forward
199,*,*,0x800,*,*,17,*,*,*,53,*,forward
200,9e:8d:de:80:29:28,*,0x800,*,i.canaryis.com,6,*,*,*,443,*,forward
201,9e:8d:de:80:29:28,*,0x800,*,h.canaryis.com,6,*,*,*,443,*,forward
202,*,9e:8d:de:80:29:28,0x800,i.canaryis.com,*,6,*,*,443,*,*,forward
203,*,9e:8d:de:80:29:28,0x800,b.canaryis.com,*,6,*,*,443,*,*,forward
204,*,9e:8d:de:80:29:28,0x800,i.canaryis.com,*,6,*,*,80,*,*,forward
205,*,9e:8d:de:80:29:28,0x800,09-wl2-d-prod.canaryis.com,*,6,*,*,443,*,*,forward
