sEth,dEth,typEth,proto,sPort,dPort,Source,Destination,action
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,lh5.googleusercontent.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,www.youtube-nocookie.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,connectivitycheck.gstatic.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,lh4.googleusercontent.com,forward
*,*,0x0800,6,8008,*,*,*,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,securepubads.g.doubleclick.net,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,i.ytimg.com,forward
*,9e:8d:de:80:29:28,0x0800,6,80,*,ssl.gstatic.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,cast.scdn.co,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,www.youtube.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,lh4.googleusercontent.com,*,forward
*,9e:8d:de:80:29:28,0x0800,17,443,*,android.clients.google.com,*,forward
*,9e:8d:de:80:29:28,0x0800,17,443,*,clients2.google.com,*,forward
*,9e:8d:de:80:29:28,0x0800,17,443,*,www.youtube-nocookie.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,80,*,clients3.google.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,clients3.google.com,*,forward
*,9e:8d:de:80:29:28,0x0800,17,443,*,r2---sn-ntq7yned.googlevideo.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,www.gstatic.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,googleads.g.doubleclick.net,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,9e:8d:de:80:29:28,0x0800,17,443,*,clients3.google.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,clients1.google.com,*,forward
*,9e:8d:de:80:29:28,0x0800,17,53,*,8.8.8.8/32,*,forward
*,9e:8d:de:80:29:28,0x0800,17,443,*,lh6.googleusercontent.com,*,forward
*,9e:8d:de:80:29:28,0x0800,1,*,*,clients1.google.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,r4---sn-ntqe6n76.googlevideo.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,80,*,tools.google.com,*,forward
*,*,0x0800,1,*,*,*,*,forward
*,9e:8d:de:80:29:28,0x0800,17,443,*,r1---sn-55goxu-ntqe.googlevideo.com,*,forward
*,9e:8d:de:80:29:28,0x0800,17,443,*,r4---sn-ntqe6n76.googlevideo.com,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,9e:8d:de:80:29:28,0x0800,1,*,*,tools.google.com,*,forward
*,9e:8d:de:80:29:28,0x0800,17,443,*,lh4.googleusercontent.com,*,forward
*,9e:8d:de:80:29:28,0x0800,1,*,*,google.com,*,forward
*,9e:8d:de:80:29:28,0x0800,17,443,*,clients4.google.com,*,forward
*,*,0x0800,6,*,8008,*,*,forward
*,9e:8d:de:80:29:28,0x0800,17,123,*,time.google.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,5228,*,mtalk.google.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,80,*,www.gstatic.com,*,forward
